epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2167.6,1.42029,1.63627,1.51496,0.53185,0.49296,0.47485,0.25751,1.56644,1.65396,1.8427,0.0011882,0.0011882,0.0011882
43,2219.2,1.43402,1.61234,1.5145,0.52184,0.44718,0.44751,0.2424,1.58619,1.71598,1.85584,0.0011684,0.0011684,0.0011684
44,2270.69,1.40686,1.61329,1.49825,0.55801,0.46479,0.46167,0.26197,1.60382,1.6636,1.85281,0.0011486,0.0011486,0.0011486
45,2322.15,1.40262,1.58414,1.48899,0.57063,0.42606,0.4623,0.25192,1.59599,1.74228,1.8226,0.0011288,0.0011288,0.0011288
46,2373.69,1.40629,1.61817,1.50161,0.51386,0.43547,0.46099,0.25752,1.5856,1.73628,1.87614,0.001109,0.001109,0.001109
47,2425.15,1.38804,1.56764,1.48445,0.54871,0.4507,0.45102,0.24774,1.54317,1.66888,1.81506,0.0010892,0.0010892,0.0010892
48,2476.63,1.39179,1.57917,1.48209,0.62211,0.45794,0.48484,0.25991,1.57616,1.68759,1.87881,0.0010694,0.0010694,0.0010694
49,2528.24,1.39644,1.58032,1.48424,0.52838,0.46831,0.48076,0.26284,1.59225,1.62209,1.87002,0.0010496,0.0010496,0.0010496
50,2579.72,1.37494,1.56279,1.47642,0.61754,0.46051,0.4949,0.27036,1.56491,1.62348,1.79647,0.0010298,0.0010298,0.0010298
51,2631.32,1.37639,1.54611,1.48744,0.59922,0.47183,0.49493,0.26197,1.60782,1.68907,1.866,0.00101,0.00101,0.00101
52,2682.81,1.38395,1.54777,1.48332,0.51679,0.48239,0.47747,0.27901,1.53727,1.68573,1.76682,0.0009902,0.0009902,0.0009902
53,2734.39,1.37474,1.53182,1.47826,0.56132,0.49296,0.51628,0.2911,1.59088,1.58503,1.84784,0.0009704,0.0009704,0.0009704
54,2785.82,1.36142,1.52296,1.46686,0.52442,0.48944,0.48584,0.26758,1.61275,1.63141,1.83249,0.0009506,0.0009506,0.0009506
55,2837.25,1.37493,1.5383,1.46911,0.53593,0.47183,0.49498,0.26569,1.61551,1.6349,1.8953,0.0009308,0.0009308,0.0009308
56,2888.76,1.3605,1.50909,1.46605,0.48762,0.54286,0.49621,0.28168,1.52101,1.60515,1.78275,0.000911,0.000911,0.000911
57,2940.32,1.35114,1.48825,1.45657,0.54174,0.47535,0.48984,0.27285,1.57775,1.64596,1.8239,0.0008912,0.0008912,0.0008912
58,2991.88,1.34244,1.49239,1.44475,0.56474,0.44366,0.43852,0.22962,1.67026,1.70106,1.91424,0.0008714,0.0008714,0.0008714
59,3043.37,1.34597,1.49627,1.45346,0.53747,0.52465,0.51726,0.29914,1.53268,1.56823,1.77645,0.0008516,0.0008516,0.0008516
60,3094.87,1.33556,1.48323,1.455,0.55088,0.49296,0.49561,0.27462,1.55132,1.66629,1.80795,0.0008318,0.0008318,0.0008318
61,3146.28,1.33662,1.47735,1.43791,0.57717,0.46831,0.49173,0.26865,1.53715,1.63489,1.78419,0.000812,0.000812,0.000812
62,3197.77,1.31834,1.45023,1.44047,0.55987,0.52465,0.51201,0.28437,1.57971,1.57375,1.83261,0.0007922,0.0007922,0.0007922
63,3249.15,1.33415,1.47309,1.42775,0.60126,0.47183,0.51069,0.29723,1.55118,1.59704,1.7771,0.0007724,0.0007724,0.0007724
64,3300.69,1.31814,1.43572,1.42987,0.5576,0.53521,0.49485,0.2918,1.54067,1.66411,1.77014,0.0007526,0.0007526,0.0007526
65,3352.23,1.30163,1.42572,1.42453,0.61691,0.50704,0.49371,0.26587,1.57392,1.61754,1.77803,0.0007328,0.0007328,0.0007328
66,3403.64,1.3184,1.43178,1.42639,0.52412,0.53873,0.51825,0.27632,1.60553,1.63027,1.83561,0.000713,0.000713,0.000713
67,3455.06,1.29358,1.3898,1.41567,0.56417,0.51056,0.50822,0.28486,1.56926,1.58783,1.83671,0.0006932,0.0006932,0.0006932
68,3506.61,1.28577,1.38837,1.41406,0.52059,0.53148,0.49122,0.26493,1.53604,1.65901,1.75886,0.0006734,0.0006734,0.0006734
69,3557.97,1.29014,1.40967,1.42208,0.49824,0.49648,0.46067,0.2532,1.59122,1.6967,1.8414,0.0006536,0.0006536,0.0006536
70,3609.41,1.28975,1.36534,1.40642,0.54832,0.49648,0.49464,0.27404,1.56487,1.61942,1.81351,0.0006338,0.0006338,0.0006338
71,3660.81,1.2908,1.3757,1.41576,0.57052,0.45423,0.4816,0.27739,1.55,1.65694,1.80167,0.000614,0.000614,0.000614
72,3712.1,1.27184,1.36757,1.40108,0.57935,0.46479,0.50902,0.29359,1.52127,1.5701,1.76945,0.0005942,0.0005942,0.0005942
73,3763.65,1.27497,1.36966,1.39984,0.56903,0.47183,0.5062,0.28326,1.52351,1.58669,1.76004,0.0005744,0.0005744,0.0005744
74,3815.08,1.27187,1.3536,1.39779,0.53048,0.52465,0.48806,0.26681,1.56427,1.62391,1.76736,0.0005546,0.0005546,0.0005546
75,3866.38,1.2796,1.36117,1.40532,0.53171,0.49175,0.47066,0.26985,1.53746,1.60009,1.76864,0.0005348,0.0005348,0.0005348
76,3917.8,1.25406,1.33453,1.39149,0.58167,0.49296,0.50212,0.28843,1.53908,1.5233,1.78442,0.000515,0.000515,0.000515
77,3969.28,1.25904,1.31239,1.39382,0.58842,0.48944,0.52775,0.31031,1.53898,1.50287,1.76567,0.0004952,0.0004952,0.0004952
